RESULT_COUNT: 3074,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
AAAP,AAAP:UW,BBG007K5CV53,2017-02-27,37.0,37.45,36.76,37.26,240268.0,0.0,1.0,37.0,37.45,36.76,37.26,240268.0
AABA,AABA:UW,BBG000GFJ6R5,2017-02-27,45.45,45.74,45.24,45.71,4006922.0,0.0,1.0,45.45,45.74,45.24,45.71,4006922.0
AAL,AAL:UW,BBG005P7Q8V5,2017-02-27,46.18,46.36,45.68,46.32,4130975.0,0.0,1.0,46.0794556934465,46.2590637927281,45.5805443065534,46.2191508817766,4130975.0
AAME,AAME:US,BBG000B9XB24,2017-02-27,4.1,4.1,3.95,4.0,6598.0,0.0,1.0,4.07853403141361,4.07853403141361,3.92931937172775,3.97905759162304,6598.0
AAOI,AAOI:US,BBG000D6VW15,2017-02-27,46.05,47.78,44.42,47.46,1876209.0,0.0,1.0,46.05,47.78,44.42,47.46,1876209.0
AAON,AAON:UW,BBG000C2M952,2017-02-27,34.45,34.5,33.8,34.15,185554.0,0.0,1.0,34.3263869721225,34.3762075627933,33.6787192934033,34.0274634280983,185554.0
AAPC,AAPC:US,BBG008651TF3,2017-02-27,15.95,18.96,15.95,18.96,963.0,0.0,1.0,15.95,18.96,15.95,18.96,963.0
AAPL,AAPL:UW,BBG000B9Y5X2,2017-02-27,137.14,137.435,136.28,136.93,20257426.0,0.0,1.0,136.581077759089,136.874875469013,135.724582740329,136.371933626601,20257426.0
AAWW,AAWW:UW,BBG000Q58769,2017-02-27,55.6,58.0,55.5,57.45,244149.0,0.0,1.0,55.6,58.0,55.5,57.45,244149.0
AAXJ,AAXJ:US,BBG000G6GXC5,2017-02-27,60.79,60.93,60.7,60.83,538032.0,0.0,1.0,60.79,60.93,60.7,60.83,538032.0
AAXN,AAXN:UW,BBG000BHK5Z7,2017-02-27,25.67,26.23,25.63,26.08,1097630.0,0.0,1.0,25.67,26.23,25.63,26.08,1097630.0
ABAC,ABAC:US,BBG000BDZM38,2017-02-27,2.86,2.97,2.8584,2.92,6819.0,0.0,1.0,2.86,2.97,2.8584,2.92,6819.0
ABAX,ABAX:UW,BBG000CP68R7,2017-02-27,49.6,51.28,49.305,51.1,184949.0,0.14,1.0,49.4608137903387,51.1360994187212,49.1666416115454,50.9566045299659,184949.0
ABCB,ABCB:UW,BBG000CDYGZ6,2017-02-27,48.65,49.1,48.55,48.95,113791.0,0.0,1.0,48.4400717238167,48.8881299412004,48.3405032310648,48.7387772020725,113791.0
