Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CTVCX,13.67,2017/08/04,17:46 EDT,-0.33,,,,,,,,,,,
MFPDX,14.6341,2016/08/19,20:01 EDT,0.0941,,,,,,,,,,,
HGOIX,45.07,2017/08/04,17:18 EDT,0.29,,,,,,,,,,,
MSVYX,15.54,2017/08/04,17:14 EDT,0.1,,,,,,,,,,,
BPTRX,48.13,2017/08/04,17:30 EDT,0.31,,,,,,,,,,,
HSCBX,13.97,2017/08/04,17:26 EDT,0.09,,,,,,,,,,,
SEPCX,9.31,2017/08/04,17:03 EDT,0.06,,,,,,,,,,,
KMKCX,20.14,2017/08/04,17:31 EDT,-0.02,,,,,,,,,,,
FNCRX,23.26,2017/08/04,17:37 EDT,0.15,,,,,,,,,,,
SWXEX,10.85,2017/08/03,20:01 EDT,0.07,,,,,,,,,,,
PGOAX,24.8,2017/08/04,17:29 EDT,0.16,,,,,,,,,,,
HSMCX,13.95,2017/08/04,17:26 EDT,0.09,,,,,,,,,,,
HERAX,9.3,2017/08/04,17:18 EDT,0.06,,,,,,,,,,,
HERRX,9.3,2017/08/04,17:18 EDT,0.06,,,,,,,,,,,
MMQSX,17.05,2017/08/04,17:17 EDT,0.11,,,,,,,,,,,
HGOAX,43.39,2017/08/04,17:18 EDT,0.28,,,,,,,,,,,
WFQGX,10.84,2015/10/23,18:45 EDT,0.069999695,,,,,,,,,,,
ATIBX,17.01,2017/08/04,17:21 EDT,0.11,,,,,,,,,,,
HCGOX,35.56,2017/08/04,17:18 EDT,0.23,,,,,,,,,,,
TVRAX,15.46,2017/08/04,16:50 EDT,0.1,,,,,,,,,,,
FDILBX,10.0153,2014/09/19,20:01 EDT,0.0648,,,,,,,,,,,
HERYX,9.27,2017/08/04,17:18 EDT,0.06,,,,,,,,,,,
MSCLX,15.45,2017/08/04,17:14 EDT,0.1,,,,,,,,,,,
MFRDX,14.4335,2016/08/19,20:01 EDT,0.0935,,,,,,,,,,,
NQFNCX,8.96,2016/01/15,20:01 EST,0.0581,,,,,,,,,,,
